0	1.20519	2.00276
0.00512914	1.33012	2.08039
0.0119274	0.999929	2.07205
0.437801	1.7102	2.09285
0.891126	1.68838	1.5587
1.34363	1.91724	1.53387
1.77135	2.20924	0.823054
2.00964	1.9256	0.883272
2.29486	2.08033	0.652358
2.32365	2.05095	0.507598
2.42302	1.85913	0.157613
2.90848	1.4992	0.293113
2.9113	1.50094	0.0719817
2.94963	1.19069	0.308306
3.17581	0.95533	0.325113
3.66306	0.560784	0.486058
3.9834	0.468567	0.575186
4.03404	0.593251	0.604012
4.14807	0.511223	0.481353
4.19847	0.501346	0.854925
4.36724	0.0625806	0.570164
4.37983	-0.00714027	0.810541
4.53454	0.336485	0.776687
4.92185	0.152437	1.13689
5.04624	0.358259	1.4189
5.19743	0.193696	1.5416
5.63641	0.793573	1.94605
6.11518	1.0252	2.13206
6.13583	1.12604	2.28476
